Loading parameters from parameters.yml: a success
Starting Simulation
day	diversity	tmrca	netau	serialInterval	antigenicDiversity	N	S	I	R	cases	meanLoad	antigenicTypes	cumulativeTypes
New ant mutant distance = 0.004107687775946097 Day = 1 Antigen Mutation on Type = 0
1610	5.261	4.407	3.044	0.030	0.000	4000	3981	19	0	6	11.000	1	1
1620	4.867	4.422	2.283	0.045	0.000	4000	3980	20	0	4	11.000	1	1
1630	4.954	4.430	2.283	0.040	0.000	4000	3981	19	0	3	11.000	1	1
1640	4.897	4.449	1.612	0.041	0.000	4000	3980	20	0	4	11.000	1	1
1650	5.279	4.462	3.425	0.036	0.000	4000	3982	18	0	6	11.000	1	1
1660	5.315	4.470	2.740	0.029	0.000	4000	3982	18	0	7	11.000	1	1
1670	4.922	4.481	1.957	0.040	0.000	4000	3982	18	0	2	11.000	1	1
1680	5.049	4.499	2.740	0.045	0.000	4000	3982	18	0	5	11.000	1	1
1690	4.945	4.512	1.712	0.046	0.000	4000	3982	18	0	5	11.000	1	1
1700	4.964	4.525	2.283	0.059	0.000	4000	3982	18	0	4	11.000	1	1
1710	5.334	4.678	2.740	0.054	0.000	4000	3981	19	0	7	11.000	1	1
1720	5.570	4.686	3.914	0.054	0.000	4000	3981	19	0	3	11.000	1	1
1730	5.718	4.701	3.914	0.064	0.000	4000	3982	18	0	1	11.000	1	1
1740	4.972	4.716	1.957	0.042	0.000	4000	3980	20	0	3	11.000	1	1
1750	4.985	4.775	1.826	0.077	0.000	4000	3982	18	0	5	11.000	1	1
1760	5.107	4.789	1.826	0.093	0.000	4000	3982	18	0	4	11.000	1	1
1770	5.498	4.789	3.425	0.082	0.000	4000	3982	18	0	2	11.000	1	1
1780	5.079	4.808	3.425	0.066	0.000	4000	3982	18	0	1	11.000	1	1
1790	5.222	4.829	2.491	0.100	0.000	4000	3981	19	0	4	11.000	1	1
1800	5.364	4.845	1.826	0.090	0.000	4000	3982	18	0	2	11.000	1	1
1810	5.235	4.837	2.491	0.062	0.000	4000	3982	18	0	4	11.000	1	1
1820	5.822	4.977	2.107	0.066	0.000	4000	3981	19	0	7	11.000	1	1
1830	5.645	4.985	2.740	0.047	0.000	4000	3982	18	0	3	11.000	1	1
1840	5.686	5.004	2.107	0.059	0.000	4000	3981	19	0	3	11.000	1	1
1850	5.723	5.059	3.044	0.047	0.000	4000	3982	18	0	4	11.000	1	1
1860	5.079	5.071	1.712	0.051	0.000	4000	3981	19	0	5	11.000	1	1
1870	5.939	5.088	2.740	0.066	0.000	4000	3979	21	0	5	11.000	1	1
1880	5.665	5.099	1.370	0.067	0.000	4000	3982	18	0	7	11.000	1	1
1890	5.435	5.155	1.826	0.065	0.000	4000	3982	18	0	2	11.000	1	1
1900	5.321	5.178	2.107	0.051	0.000	4000	3982	18	0	4	11.000	1	1
1910	6.069	5.204	2.107	0.065	0.000	4000	3982	18	0	1	11.000	1	1
1920	5.703	5.234	1.826	0.057	0.000	4000	3982	18	0	5	11.000	1	1
1930	5.772	5.240	2.491	0.055	0.000	4000	3982	18	0	2	11.000	1	1
1940	5.839	5.259	2.107	0.068	0.000	4000	3982	18	0	3	11.000	1	1
1950	6.361	5.279	3.425	0.055	0.000	4000	3980	20	0	4	10.000	1	1
1960	5.836	5.293	2.107	0.050	0.000	4000	3980	20	0	4	11.000	1	1
1970	5.730	5.307	2.107	0.042	0.000	4000	3980	20	0	3	11.000	1	1
1980	5.546	5.307	2.740	0.063	0.000	4000	3981	19	0	1	11.000	1	1
1990	6.013	5.332	2.283	0.078	0.000	4000	3981	19	0	4	11.000	1	1
2000	5.727	5.429	2.283	0.065	0.000	4000	3981	19	0	3	11.000	1	1
2010	6.154	5.479	3.914	0.102	0.000	4000	3981	19	0	2	11.000	1	1
2020	5.563	5.493	1.305	0.075	0.000	4000	3981	19	0	4	11.000	1	1
2030	5.634	5.501	1.612	0.070	0.000	4000	3981	19	0	6	10.000	1	1
2040	6.748	5.525	4.566	0.061	0.000	4000	3979	21	0	8	10.000	1	1
2050	6.241	5.523	2.107	0.056	0.000	4000	3981	19	0	0	11.000	1	1
2060	6.021	5.525	2.107	0.063	0.000	4000	3981	19	0	2	11.000	1	1
2070	5.638	5.660	1.826	0.062	0.000	4000	3981	19	0	3	11.000	1	1
2080	6.025	5.685	2.283	0.064	0.000	4000	3981	19	0	2	11.000	1	1
2090	6.261	5.704	2.740	0.068	0.000	4000	3981	19	0	4	11.000	1	1
2100	6.485	5.711	3.044	0.062	0.000	4000	3981	19	0	3	11.000	1	1
2110	6.609	5.766	3.425	0.063	0.000	4000	3981	19	0	4	11.000	1	1
2120	6.150	5.784	1.712	0.070	0.000	4000	3980	20	0	4	11.000	1	1
2130	6.635	5.797	1.712	0.110	0.000	4000	3980	20	0	3	11.000	1	1
2140	6.182	5.836	2.740	0.069	0.000	4000	3981	19	0	3	11.000	1	1
2150	6.152	5.867	1.826	0.077	0.000	4000	3981	19	0	5	11.000	1	1
2160	6.158	5.881	2.283	0.090	0.000	4000	3981	19	0	2	11.000	1	1
2170	6.999	5.900	2.491	0.097	0.000	4000	3980	20	0	2	11.000	1	1
2180	6.610	5.911	1.612	0.071	0.000	4000	3981	19	0	5	11.000	1	1
2190	7.077	5.921	3.425	0.070	0.000	4000	3981	19	0	3	11.000	1	1
2200	6.947	5.941	2.283	0.083	0.000	4000	3980	20	0	5	10.000	1	1
2210	6.914	6.014	2.740	0.128	0.000	4000	3981	19	0	2	11.000	1	1
2220	6.836	6.052	1.826	0.077	0.000	4000	3981	19	0	2	11.000	1	1
2230	7.030	6.078	2.283	0.090	0.000	4000	3979	21	0	4	10.000	1	1
2240	6.941	6.123	2.491	0.081	0.000	4000	3981	19	0	4	11.000	1	1
2250	6.380	6.138	1.712	0.087	0.000	4000	3981	19	0	5	11.000	1	1
2260	7.560	6.167	3.914	0.060	0.000	4000	3981	19	0	4	11.000	1	1
2270	7.425	6.197	1.957	0.066	0.000	4000	3980	20	0	5	10.000	1	1
2280	7.574	6.208	2.740	0.051	0.000	4000	3981	19	0	5	11.000	1	1
2290	6.817	6.215	3.044	0.076	0.000	4000	3981	19	0	4	11.000	1	1
2300	7.256	6.236	2.491	0.083	0.000	4000	3981	19	0	2	11.000	1	1
2310	6.416	6.251	1.712	0.039	0.000	4000	3981	19	0	5	11.000	1	1
2320	6.968	6.263	2.283	0.042	0.000	4000	3981	19	0	4	11.000	1	1
2330	7.324	6.368	2.283	0.074	0.000	4000	3981	19	0	2	10.000	1	1
2340	7.342	6.395	3.044	0.042	0.000	4000	3981	19	0	8	10.000	1	1
2350	7.392	6.410	3.044	0.035	0.000	4000	3980	20	0	4	11.000	1	1
2360	7.459	6.421	2.491	0.044	0.000	4000	3981	19	0	4	11.000	1	1
2370	7.455	6.432	2.740	0.028	0.000	4000	3981	19	0	2	11.000	1	1
2380	7.235	6.505	1.712	0.043	0.000	4000	3981	19	0	3	11.000	1	1
2390	6.874	6.519	2.107	0.047	0.000	4000	3981	19	0	3	11.000	1	1
2400	8.093	6.573	3.425	0.063	0.000	4000	3979	21	0	6	10.000	1	1
2410	7.609	6.584	3.425	0.057	0.000	4000	3981	19	0	5	11.000	1	1
2420	7.951	6.600	4.566	0.064	0.000	4000	3980	20	0	2	11.000	1	1
2430	7.614	6.601	3.044	0.044	0.000	4000	3980	20	0	7	11.000	1	1
2440	7.962	6.656	2.491	0.054	0.000	4000	3981	19	0	2	10.000	1	1
2450	7.540	6.663	2.283	0.060	0.000	4000	3981	19	0	7	10.000	1	1
2460	7.534	6.675	1.957	0.074	0.000	4000	3981	19	0	6	11.000	1	1
2470	7.850	6.693	2.283	0.072	0.000	4000	3981	19	0	1	11.000	1	1
2480	7.028	6.708	1.826	0.060	0.000	4000	3981	19	0	3	11.000	1	1
2490	7.597	6.718	3.044	0.073	0.000	4000	3980	20	0	6	11.000	1	1
2500	7.906	6.736	2.740	0.071	0.000	4000	3981	19	0	4	10.000	1	1
2510	7.673	6.747	2.283	0.051	0.000	4000	3981	19	0	4	11.000	1	1
2520	7.935	6.767	2.283	0.055	0.000	4000	3980	20	0	4	11.000	1	1
2530	8.414	6.775	5.479	0.062	0.000	4000	3981	19	0	4	11.000	1	1
2540	7.667	6.775	2.740	0.056	0.000	4000	3978	22	0	7	11.000	1	1
2550	6.218	6.807	1.191	0.052	0.000	4000	3981	19	0	5	10.000	1	1
2560	8.200	6.807	3.425	0.057	0.000	4000	3981	19	0	2	11.000	1	1
2570	7.324	6.826	1.826	0.056	0.000	4000	3981	19	0	3	11.000	1	1
2580	7.517	6.838	2.740	0.056	0.000	4000	3981	19	0	2	11.000	1	1
2590	8.042	7.090	2.491	0.078	0.000	4000	3981	19	0	4	11.000	1	1
2600	8.013	7.104	1.826	0.076	0.000	4000	3981	19	0	8	11.000	1	1
2610	8.052	7.116	2.491	0.066	0.000	4000	3982	18	0	2	11.000	1	1
2620	7.794	7.164	2.283	0.056	0.000	4000	3982	18	0	5	11.000	1	1
