date	meanR	varR	meanBeta	varBeta	meanSigma	varSigma	covBetaSigma
5.945205	-3.549536	0.002068	-0.661756	0.002068	-4.273710	0.000000	0.000000
5.972603	-3.551737	0.002057	-0.664208	0.002057	-4.273459	0.000000	0.000000
6.000000	-3.530535	0.002057	-0.664208	0.002057	-4.252257	0.000000	0.000000
6.027397	-3.530342	0.001958	-0.663764	0.001958	-4.252508	0.000000	0.000000
6.054795	-3.523566	0.002057	-0.664208	0.002057	-4.245288	0.000000	0.000000
6.082192	-3.502947	0.002057	-0.664208	0.002057	-4.224669	0.000000	0.000000
6.109589	-3.511342	0.001886	-0.665275	0.001886	-4.231998	0.000000	-0.000000
6.136986	-3.537552	0.002057	-0.664208	0.002057	-4.259275	0.000000	-0.000000
6.164384	-3.551737	0.002057	-0.664208	0.002057	-4.273459	0.000000	0.000000
6.191781	-3.573398	0.002057	-0.664208	0.002057	-4.295121	0.000000	0.000000
6.219178	-3.563122	0.002155	-0.660953	0.002155	-4.288099	0.000000	0.000000
6.246575	-3.588105	0.002057	-0.664208	0.002057	-4.309827	0.000000	0.000000
6.273973	-3.566126	0.002057	-0.664208	0.002057	-4.287848	0.000000	-0.000000
6.301370	-3.558905	0.002057	-0.664208	0.002057	-4.280628	0.000000	0.000000
6.328767	-3.558905	0.002057	-0.664208	0.002057	-4.280628	0.000000	0.000000
6.356164	-3.580724	0.002057	-0.664208	0.002057	-4.302447	0.000000	-0.000000
6.383562	-3.558905	0.002057	-0.664208	0.002057	-4.280628	0.000000	0.000000
6.410959	-3.595539	0.002057	-0.664208	0.002057	-4.317262	0.000000	0.000000
6.438356	-3.585502	0.002109	-0.661354	0.002109	-4.310078	0.000000	-0.000000
6.465753	-3.595539	0.002057	-0.664208	0.002057	-4.317262	0.000000	0.000000
6.493151	-3.595539	0.002057	-0.664208	0.002057	-4.317262	0.000000	0.000000
6.520548	-3.580724	0.002057	-0.664208	0.002057	-4.302447	0.000000	-0.000000
6.547945	-3.566126	0.002057	-0.664208	0.002057	-4.287848	0.000000	-0.000000
6.575342	-3.557797	0.002039	-0.662598	0.002039	-4.281130	0.000000	-0.000000
6.602740	-3.603030	0.002057	-0.664208	0.002057	-4.324753	0.000000	0.000000
6.630137	-3.570394	0.002155	-0.660953	0.002155	-4.295372	0.000000	0.000000
6.657534	-3.578925	0.002034	-0.662158	0.002034	-4.302698	0.000000	-0.000000
6.684932	-3.566126	0.002057	-0.664208	0.002057	-4.287848	0.000000	-0.000000
6.712329	-3.588105	0.002057	-0.664208	0.002057	-4.309827	0.000000	0.000000
6.739726	-3.603030	0.002057	-0.664208	0.002057	-4.324753	0.000000	0.000000
6.767123	-3.551737	0.002057	-0.664208	0.002057	-4.273459	0.000000	0.000000
6.794521	-3.544619	0.002057	-0.664208	0.002057	-4.266342	0.000000	0.000000
6.821918	-3.571599	0.002034	-0.662158	0.002034	-4.295372	0.000000	0.000000
6.849315	-3.573398	0.002057	-0.664208	0.002057	-4.295121	0.000000	0.000000
6.876712	-3.558905	0.002057	-0.664208	0.002057	-4.280628	0.000000	0.000000
6.904110	-3.570394	0.002155	-0.660953	0.002155	-4.295372	0.000000	0.000000
6.931507	-3.580724	0.002057	-0.664208	0.002057	-4.302447	0.000000	-0.000000
6.958904	-3.578442	0.001966	-0.661172	0.001966	-4.303201	0.000000	-0.000000
6.986301	-3.603030	0.002057	-0.664208	0.002057	-4.324753	0.000000	0.000000
7.013699	-3.580724	0.002057	-0.664208	0.002057	-4.302447	0.000000	-0.000000
7.041096	-3.595539	0.002057	-0.664208	0.002057	-4.317262	0.000000	0.000000
7.068493	-3.530535	0.002057	-0.664208	0.002057	-4.252257	0.000000	0.000000
7.095890	-3.520184	0.002323	-0.660826	0.002323	-4.245288	0.000000	0.000000
7.123288	-3.527575	0.002267	-0.661249	0.002267	-4.252257	0.000000	0.000000
7.150685	-3.544861	0.002167	-0.664701	0.002167	-4.266091	0.000000	0.000000
7.178082	-3.580966	0.002167	-0.664701	0.002167	-4.302196	0.000000	-0.000000
7.205479	-3.607288	0.002043	-0.668717	0.002043	-4.324501	0.000000	0.000000
7.232877	-3.636471	0.002141	-0.667615	0.002141	-4.354787	0.000000	0.000000
7.260274	-3.621087	0.002141	-0.667615	0.002141	-4.339402	0.000000	-0.000000
7.287671	-3.619763	0.002065	-0.666040	0.002065	-4.339653	0.000000	0.000000
7.315068	-3.644254	0.002141	-0.667615	0.002141	-4.362569	0.000000	-0.000000
7.342466	-3.684100	0.002141	-0.667615	0.002141	-4.402415	0.000000	-0.000000
7.369863	-3.636471	0.002141	-0.667615	0.002141	-4.354787	0.000000	0.000000
7.397260	-3.652097	0.002141	-0.667615	0.002141	-4.370412	0.000000	-0.000000
7.424658	-3.641145	0.002214	-0.664255	0.002214	-4.362820	0.000000	-0.000000
7.452055	-3.644254	0.002141	-0.667615	0.002141	-4.362569	0.000000	-0.000000
7.479452	-3.636471	0.002141	-0.667615	0.002141	-4.354787	0.000000	0.000000
7.506849	-3.643822	0.002030	-0.666932	0.002030	-4.362820	0.000000	-0.000000
7.534247	-3.636040	0.002030	-0.666932	0.002030	-4.355038	0.000000	0.000000
7.561644	-3.625845	0.002057	-0.664208	0.002057	-4.347567	0.000000	-0.000000
7.589041	-3.657097	0.002057	-0.664208	0.002057	-4.378820	0.000000	-0.000000
7.616438	-3.657097	0.002057	-0.664208	0.002057	-4.378820	0.000000	-0.000000
7.643836	-3.641349	0.002057	-0.664208	0.002057	-4.363071	0.000000	0.000000
7.671233	-3.649192	0.002057	-0.664208	0.002057	-4.370915	0.000000	0.000000
7.698630	-3.637944	0.002208	-0.660551	0.002208	-4.363323	0.000000	-0.000000
7.726027	-3.649192	0.002057	-0.664208	0.002057	-4.370915	0.000000	0.000000
7.753425	-3.632470	0.002158	-0.663363	0.002158	-4.355038	0.000000	0.000000
7.780822	-3.595539	0.002057	-0.664208	0.002057	-4.317262	0.000000	0.000000
7.808219	-3.603030	0.002057	-0.664208	0.002057	-4.324753	0.000000	0.000000
7.835616	-3.603030	0.002057	-0.664208	0.002057	-4.324753	0.000000	0.000000
7.863014	-3.588313	0.001954	-0.664166	0.001954	-4.310078	0.000000	-0.000000
7.890411	-3.573398	0.002057	-0.664208	0.002057	-4.295121	0.000000	0.000000
7.917808	-3.573398	0.002057	-0.664208	0.002057	-4.295121	0.000000	0.000000
7.945205	-3.573398	0.002057	-0.664208	0.002057	-4.295121	0.000000	0.000000
7.972603	-3.595539	0.002057	-0.664208	0.002057	-4.317262	0.000000	0.000000
8.000000	-3.603030	0.002057	-0.664208	0.002057	-4.324753	0.000000	0.000000
8.027397	-3.625845	0.002057	-0.664208	0.002057	-4.347567	0.000000	-0.000000
8.054795	-3.618182	0.002057	-0.664208	0.002057	-4.339904	0.000000	0.000000
8.082192	-3.629211	0.001923	-0.667825	0.001923	-4.347316	0.000000	0.000000
8.109589	-3.636933	0.001923	-0.667825	0.001923	-4.355038	0.000000	0.000000
8.136986	-3.619873	0.001888	-0.665899	0.001888	-4.339904	0.000000	0.000000
8.164384	-3.636933	0.001923	-0.667825	0.001923	-4.355038	0.000000	0.000000
8.191781	-3.634412	0.001960	-0.665054	0.001960	-4.355289	0.000000	0.000000
8.219178	-3.598905	0.001923	-0.667825	0.001923	-4.317011	0.000000	0.000000
8.246575	-3.596385	0.001960	-0.665054	0.001960	-4.317262	0.000000	0.000000
8.273973	-3.607573	0.002155	-0.660953	0.002155	-4.332551	0.000000	-0.000000
8.301370	-3.616784	0.002006	-0.662559	0.002006	-4.340156	0.000000	0.000000
8.328767	-3.631311	0.002058	-0.661450	0.002058	-4.355792	0.000000	0.000000
8.356164	-3.624046	0.002034	-0.662158	0.002034	-4.347818	0.000000	0.000000
8.383562	-3.641349	0.002057	-0.664208	0.002057	-4.363071	0.000000	0.000000
8.410959	-3.641349	0.002057	-0.664208	0.002057	-4.363071	0.000000	0.000000
8.438356	-3.657097	0.002057	-0.664208	0.002057	-4.378820	0.000000	-0.000000
8.465753	-3.616784	0.002006	-0.662559	0.002006	-4.340156	0.000000	0.000000
8.493151	-3.615580	0.002109	-0.661354	0.002109	-4.340156	0.000000	0.000000
8.520548	-3.633567	0.002057	-0.664208	0.002057	-4.355289	0.000000	0.000000
8.547945	-3.641960	0.001957	-0.664567	0.001957	-4.363323	0.000000	-0.000000
8.575342	-3.607175	0.002160	-0.660303	0.002160	-4.332802	0.000000	-0.000000
8.602740	-3.629017	0.002179	-0.659155	0.002179	-4.355792	0.000000	0.000000
8.630137	-3.645385	0.002267	-0.660150	0.002267	-4.371166	0.000000	0.000000
8.657534	-3.614397	0.002160	-0.659920	0.002160	-4.340407	0.000000	-0.000000
8.684932	-3.622038	0.002267	-0.660150	0.002267	-4.347818	0.000000	0.000000
8.712329	-3.629760	0.002267	-0.660150	0.002267	-4.355541	0.000000	0.000000
8.739726	-3.627104	0.002328	-0.657243	0.002328	-4.355792	0.000000	0.000000
